Size,5,100,999
1000,0.015625,0.140625,1.84375
2000,0.0,0.328125,3.359375
3000,0.0,0.390625,4.78125
4000,0.015625,0.515625,6.34375
5000,0.0625,0.28125,9.4375
10000,0.046875,1.703125,15.703125
