Size,5,100,999
1000,0.140625,0.078125,0.09375
2000,0.390625,0.390625,0.421875
3000,0.765625,0.734375,1.0
4000,1.46875,1.53125,1.515625
5000,2.40625,1.78125,2.640625
10000,9.125,10.65625,9.90625
